Id_date,IdMuestra,Rango fiabilidad
1,Beta-391058,3
2,Beta-468988,2
3,Beta-468994,1
4,Beta-510710,2
5,Beta-510718,2
6,SacA-500016,2
7,SacA-500017,1
8,SacA-500026,2
9,SacA-500345,2
10,SacA-500346,2
11,SacA-500347,2
12,SacA-500348,2
13,SacA-500025,2
14,D-AMS-015878,2
15,D-AMS-015879,2
16,SacA-50002,2
17,SacA-50003,2
18,SacA-50004,2
19,SacA-50005,2
20,SacA-50007,2
21,Beta-510708,2
22,D-AMS-032113,2
23,D-AMS-032114,2
24,D-AMS-032115,2
25,D-AMS-036314,1
26,D-AMS-036315,2
27,Beta-539743,2
28,Beta-561333,1
29,Beta-561334,1
30,Beta-561335,1
31,Beta-565477,1
32,Beta-565478,1
33,D-AMS-037585,2
34,D-AMS-036327,2
35,D-AMS-036328,2
36,D-AMS-036329,2
37,D-AMS-036330,2
38,D-AMS-036331,2
39,D-AMS-036332,2
40,D-AMS-036333,2
41,D-AMS-036334,2
42,D-AMS-036335,2
43,D-AMS-041824,2
44,D-AMS-036319,2
45,D-AMS-036320,2
46,D-AMS-036318,2
47,D-AMS-036316,2
48,D-AMS-037584,2
49,Momia MSA,2
50,D-AMS-036322,2
51,D-AMS-036323,2
52,D-AMS-036324,2
53,D-AMS-036325,2
54,D-AMS-036326,2
55,D-AMS-036336,2
56,D-AMS-032111,2
57,Beta-210781,2
58,Beta-210778,2
59,Beta-210779,2
60,n.d-74,7*
61,n.d-75,1
62,Beta-256481,2
63,n.d-13,1
64,n.d-24,1
65,n.d-35,1
66,n.d-57,7*
67,Beta-129251,2
68,Beta-368410,2
69,Beta-256483,2
70,Beta-256480,2
71,Beta-368411,2
72,Beta-256482,2
73,Beta-368412,2
74,Beta-315249,2
75,Beta-315250,1
76,Beta-216161,2
77,Beta-216162,2
78,Beta-218613,2
79,Beta-315247,2
80,Beta-315248,2 *
81,Beta-346111,1
82,Beta-349001,1
83,Beta-230885,7
84,Beta-237340,7
85,Beta-237341,7
86,Beta-251320,7
87,Beta-251321,7
88,Beta-251322,7
89,Beta-251323,7
90,Beta-445241,7
91,Beta-445242,7
92,Beta-445243,7
93,Beta-172349,3
94,Beta-214123,7
95,Beta-214124,7
96,Beta-214125,7
97,Beta-214126,7
98,Beta-214127,7
99,Beta-214128,7
100,Beta-275164,7
101,Beta-334933,7
102,GrA-2463,3
103,GrA-2464,3
104,GrA-2470,7
105,GrA-2471,7
106,GrA-2472,7
107,GrA-2473,7
108,GrA-2474,7
109,GrA-2475,7
110,GrA-2477,7
111,GrA-2478,7
112,GrA-2479,7
113,GrA-2511,7
114,GrN-15762,7
115,GrN-15804,3
116,GrN-19192,3
117,GrN-19194,3
118,GrN-19195,3
119,UBA-31979,7
120,UBA-31980,7
121,Beta-334945,7
122,Beta-334946,7
123,Beta-172350,7
124,Beta-32663,3
125,Beta-382740,2
126,Beta-382741,2
127,Beta-177041,7
128,Beta-177042,7
129,Beta-207566,7
130,Gro-1127,7
131,Gro-1188,2
132,Gro-1189,7
133,Gro-1190,7
134,Gro-1191,7
135,Gro-1192,7
136,Gro-1872,7
137,GX-23805,7
138,GX-23806,7
139,GX-23807,7
140,GX-23808,7
141,GX-23824,6
142,GX-23825,7
143,GX-23826,6
144,GX-23827,7
145,GX-23828,6
146,Beta-331834,6
147,Beta-331835,6
148,Beta-331837,6
149,Beta-331838,6
150,Beta-510608,2
151,Beta-510610,2
152,Gak-8057,3 *
153,Gak-8055,7 *
154,Gak-8056,6 *
155,Gak-8062,7 *
156,Gak-8063,7 *
157,Gak-8064,7 *
158,Gak-8065,7 *
159,GX-15952,2
160,GX-15953,2
161,GX-15945,2
162,GX-18744,3
163,GX-19697,3
164,GX-15958,7
165,GX-15946,3
166,GX-18745,3
167,Gak-13083,7 *
168,Gak-13084,7 *
169,Gak-13085,7 *
170,Gak-13086,7 *
171,Gak-13087,7 *
172,Gak-13088,7 *
173,Gak-15973,7 *
174,Gak-15974,7 *
175,Gak-15975,7 *
176,Gak-15976,7 *
177,Gak-15977,7 *
178,Gak-15978,7 *
179,Gak-15979,7 *
180,Gak-15980,7 *
181,CSIC-147,7
182,Gak-8066,7 *
183,Gak-8067,7 *
184,GX-15959,7
185,GX-18748,2
186,GX-18743,3
187,GX-15954,2
188,CSIC-187,7
189,CSIC-188,7
190,CSIC-189,7
191,GX-18742,3
192,GrN-12756,7
193,Gak-14598,7 *
194,Gak-14599,7 *
195,Gak-14600,7 *
196,Gak-14601,7 *
197,GX-18746,3
198,GX-19702,3
199,GX-18740,3
200,GX-19693,3
201,GX-18747,3
202,GrN-12755,7
203,GX-19700,3
204,GX-15960,7
205,GX-15961,7
206,GX-18741,3
207,GX-15947,3
208,GX-15948,3
209,GX-15949,3
210,GX-15950,3
211,GX-15951,3
212,GX-15955,3
213,GX-18739,3
214,GrA-26873,7
215,GrA-27418,7
216,GrA-27421,7
217,GrA-27479,7
218,Beta-302465,7
219,Beta-302466,7
220,Beta-302467,7
221,Beta-302468,7
222,Beta-302469,7
223,Beta-306112,7
224,Beta-306113,7
225,Beta-306114,7
226,Beta-306115,7
227,Beta-256343,2
228,Beta-256344,2
229,Beta-256345,2
230,Beta-256346,2
231,Beta-256347,2
232,Beta-321399,3
233,Beta-162119,7
234,Beta-539739,3
235,Beta-539726,2
236,Beta-539727,2
237,Beta-539733,2
238,Beta-539734,2
239,Beta-539738,2
240,Beta-539735,2
241,Beta-539741,2
242,Beta-539749,4
243,Beta-539745,2
244,Beta-539746,2
245,Beta-539747,2
246,Beta-539748,2
247,Beta-539744,2
248,Beta-539732,2
249,Beta-539742,2
250,Beta-539750,2
251,D-AMS-0179,2
252,Beta-539731,2
253,Beta-539740,2
254,VRI-564,7
255,VRI-565,7
256,VRI-566,7
257,VRI-567,7
258,VRI-777,6
259,VRI-778,6
260,VRI-779,6
261,VRI-780,6
262,VRI-798,7
263,VRI-791,6
264,VRI-790,6
265,Gif-9897,5
266,Gif-9898,5
267,Gif-9899,6
268,Gif-9900,5
269,Beta-384060,2
270,D-AMS-015881,2
271,Beta-481939,2
272,Beta-232010,2
273,Beta-232011,2
274,Beta-232012,2
275,Beta-232013,2
276,Beta-232014,2
277,Beta-232015,2
278,Beta-232016,2
279,D-AMS-021461,2
280,D-AMS-021462,2
281,Beta-481938,2
282,Beta-195947,7
283,Beta-195948,7
284,Beta-362104,1
285,Beta-362105,1
286,Beta-362106,1
287,Beta-362110,1
288,Beta-362111,1
289,Beta-362112,1
290,Beta-362113,1
291,Beta-469049,3
292,Beta-469050,3
293,Beta-377347,1
294,Beta-477343,1
295,Beta-477344,1
296,Beta-477345,1
297,Beta-477346,1
298,Beta-477348,1
299,Beta-477349,3
300,Beta-477350,3
301,Beta-477351,3
302,Beta-554542,3
303,CSIC-254,7
304,CSIC-255,7
305,CSIC-256,7
306,CSIC-257,7
307,CSIC-263,6
308,CSIC-262,6
309,CSIC-195,7
310,Beta-206017,5
311,Beta-206018,1
312,Beta-96135,2 *
313,Beta-96136,2
314,Beta-96137,7
315,Beta-96138,6
316,Beta-96139,2
317,Beta-96140,6
318,Beta-96142,6
319,Beta-96144,7
320,Gak-13039,7 *
321,Gak-13040,7 *
322,Gak-13041,7 *
323,Gak-13042,7 *
324,Gak-13043,7 *
325,Gak-13044,7 *
326,Gak-13045,7 *
327,Gak-13046,7 *
328,Gak-13047,7 *
329,Gif-9056,7
330,LGQ-320,6
331,Beta-506560,1
332,Beta-522311,1
333,Beta-523055,1
334,Beta-131030,6
335,Beta-131031,1
336,Beta-131032,7
337,CSIC-143,7
338,CSIC-144,3
339,KN-601,7
340,KN-602,7
341,CSIC-190,3
342,CSIC-191,3
343,CSIC-192,3
344,CSIC-193,3
345,CSIC-194,3
346,CSIC-168,6
347,M-1054,2
348,M-1055,3
349,n.d-77,3
350,n.d-2,3
351,M-1057,5
352,T-195,3
353,T-195A,3
354,T-195B,3
355,Gif-7857,5
356,Gif-7858,5
357,Gif-7859,5
358,Gif-7884,5
359,Gif-7885,5
360,Gif-8041,5
