Id_site,Yacimiento,Localidad,Isla,Unidad geográfica,Latitud,Longitud,Tipo de yacimiento
1,Acusa,Arteara,Gran Canaria,Oriental,28.00574,-15.68056,Cueva
2,Adeje,Adeje,Tenerife,Occidental,28.119113,-16.735599,Cueva
3,Agua Oveja,Puerto de la Cruz,Fuerteventura,Oriental,28.07901,-14.44112,Aire libre / Conchero
4,Alto del Garagonay,Agulo,La Gomera,Occidental,28.10972,-17.24834,Aire libre
5,Anaga,Anaga,Tenerife,Occidental,28.549018,-16.183801,Cueva
6,Ancón del Acebuche 1 / Barranco de las Puertitas ,San Sebastián,La Gomera,Occidental,28.09476,-17.1315,Cueva
7,Andén del Tabacalete,Tejeda,Gran Canaria,Oriental,27.99183,-15.64936,Cueva
8,Angostura,Las Cañadas,Tenerife,Occidental,28.24453,-16.57402,Cueva
9,Araya,Candelaria,Tenerife,Occidental,28.363534,-16.393102,Cueva
10,Arenas,Las Cañadas,Tenerife,Occidental,28.236019,-16.58323,Cueva
11,Barranco Cardones,Arucas,Gran Canaria,Oriental,28.14395,-15.50961,Cueva
12,Barranco de Guayadeque,Agüimes/Ingenio,Gran Canaria,Oriental,27.93714,-15.48846,Cueva
13,Barranco de Herques,Farsia,Tenerife,Occidental,28.24412,-16.42586,Cueva
14,Barranco de la Monja,La Monja,Fuerteventura,Oriental,28.52936,-13.83784,Aire libre
15,Barranco de la Puerca,Agaete,Gran Canaria,Oriental,28.10257,-15.673,Cueva
16,Barranco de Santos,Santa Cruz de Tenerife,Tenerife,Occidental,28.47629,-16.27162,Cueva
17,Barranco del Águila,San Sebastián,La Gomera,Occidental,28.13544,-17.11436,Aire libre / Conchero
18,Barranco del Infierno,Adeje,Tenerife,Occidental,28.12643,-16.72016,Cueva
19,Barranco Hondo,San Bartolomé de Tirajana,Gran Canaria,Oriental,27.81192,-15.51013,Cueva
20,Barranco Jagua,El Rosario,Tenerife,Occidental,28.50583,-16.20831,Cueva
21,Barranco Pilón,San Miguel de Abona,Tenerife,Occidental,28.22009,-16.75163,Cueva
22,Belmaco,Mazo,La Palma,Occidental,28.57785,-17.77664,Cueva
23,Buenavista,Tiagua,Lanzarote,Oriental,29.05223,-13.62008,Aire libre
24,Butihondo,Jandía,Fuerteventura,Oriental,28.06156,-14.31544,Aire libre / poblado
25,Caldera Tinache,Tinajo,Lanzarote,Oriental,29.06642,-13.68086,Aire libre
26,Capricho,Las Cañadas,Tenerife,Occidental,28.22558,-16.62982,Cueva
27,Cascajo,Las Cañadas,Tenerife,Occidental,28.31158,-16.69696,Cueva
28,Casillas de Linagua,La Aldea de San Nicolás,Gran Canaria,Oriental,27.96754,-15.74757,Desconocido
29,Cendro,Telde,Gran Canaria,Oriental,28.00842,-15.41759,Cueva
30,Cenobio de Valeron,Santa María de Guía,Gran Canaria,Oriental,28.13896,-15.60445,Granero
31,Chasogo,Las Cañadas,Tenerife,Occidental,28.24302,-16.71349,Aire libre / poblado
32,Conchero Arguamul 1,Vallehermoso,La Gomera,Occidental,28.20698,-17.30133,Aire libre / Conchero
33,Conchero Arguamul 2,Vallehermoso,La Gomera,Occidental,28.20694,-17.30123,Aire libre / Conchero
