lab_code	active	successor	name	short_name	city	country	url
A	FALSE	AA	Carbon-14 Age Determination Laboratory, University of Arizona	Arizona		USA	https://ams.arizona.edu/ 
AA	TRUE		Accelerator Mass Spectrometry Lab, University of Arizona	Arizona (AMS)		USA	https://ams.arizona.edu/ 
AAR	TRUE		Aarhus AMS Centre, Aarhus University	Aarhus	Aarhus	Denmark	https://c14websub.au.dk/
AC	TRUE		INGEIS, University of Buenos Aires	INGEIS	Buenos Aires	Argentina	http://www.ingeis.uba.ar/
AECV	FALSE		Alberta Environmental Center of Vegreville			Canada	
AERIK	FALSE		Atomic Energy Research Institute			Korea	
ALG	FALSE		Algiers			Algeria	
ANAS	FALSE		Applied Nuclear-Atomic South Science Lab			Korea	
ANL	FALSE		Argonne National Laboratory			USA	
ANTW	FALSE		Antwerp		Antwerp	Belgium	
ANU	FALSE	ANUA	ANU Radiocarbon Laboratory, Australian National University	ANU	Canberra	Australia	https://earthsciences.anu.edu.au/research/facilities/anu-radiocarbon-laboratory
ANUA	FALSE	SANU	ANU Radiocarbon Laboratory, Australian National University (AMS)	ANU (AMS)	Canberra	Australia	https://earthsciences.anu.edu.au/research/facilities/anu-radiocarbon-laboratory
SANU	TRUE		ANU Radiocarbon Laboratory, Australian National University (SSAMS)	ANU (SSAMS)	Canberra	Australia	https://earthsciences.anu.edu.au/research/facilities/anu-radiocarbon-laboratory
AU	FALSE		University of Alaska			USA	
AURIS	TRUE		Ahmedabad			India	
Aix	TRUE		Centre de Recherche et d'Enseignement de Geosciences de l'Environnement (CERAGE), Aix-en-Provence			France	
BE	TRUE		Laboratory for the Analysis of Radiocarbon with AMS, University of Bern	LARA Bern	Bern	Switzerland	https://www.14c.unibe.ch/
B	FALSE		Radiocarbon Lab, Climate and Environmental Physics, University of Bern	Bern	Bern	Switzerland	https://www.climate.unibe.ch/services/services_of_cep/radiocarbon_dating/index_eng.html
BC	FALSE		Brooklyn College			USA	
BGS	FALSE		Brock University			Canada	
BIOCAMS	FALSE		Miami		Miami	USA	
BM	FALSE		British Museum		London	England	
BONN	FALSE		Universität Bonn		Bonn	Germany	
BRAMS	TRUE		University of Bristol		Bristol	UK	
BS	TRUE		Birbal Sahni Institute			India	
Ba	TRUE		Bratislava		Bratislava	Slovakia	
Beta	TRUE		Beta Analytic			USA	
Birm	FALSE		Birmingham		Birmingham	UK	
Bln	FALSE		Berlin		Berlin	Germany	
C	FALSE		Chicago		Chicago	USA	
CAMS	TRUE		Lawrence Livermore National Laboratory			USA	
CAR	FALSE		University College, Cardiff			Wales	
CENA	TRUE		Centro Energia Nuclear na Agricultura, Universidade de São Paulo	São Paulo	São Paulo	Brazil	
CG	TRUE		Institute of Geology			China	
CH	FALSE		Chemistry Laboratory			India	
CIRAM	TRUE		CIRAM, Martillac			France	
CN-XX	TRUE		Chinese Academy of Sciences			China	
CNA	TRUE		Centro Nacional de Aceleradores			Spain	
CNL	NA		Institute of Geology and Geophysics, Chinese Academy of Sciences			China	
COL	TRUE		Köln AMS			Germany	
CRCA	FALSE		Cairo		Cairo	Egypt	
CRL	TRUE		Czech Radiocarbon Laboratory, Czech Academy of Sciences		Řež	Czechia	https://www.ujf.cas.cz/en/our-services/Radiocarbon_laboratory/About_us/
CSIC	TRUE		Geochronology Lab, IQFR-CSIC, Madrid			Spain	
CSM	FALSE		Cosmochem. Lab., USSR Acad. of Sci.			USSR	
CT	FALSE		Caltech, Calif. Inst. Tech.			USA	
CU	TRUE		Department of Hydrology and Geology, Charles University		Prague	Czechia	
D	FALSE		Dublin, Trinity College			Ireland	
D-AMS	TRUE		Direct AMS			USA	
DAL	FALSE	DGC	Radiocarbon Dating Laboratory, Dalhousie University	Dalhousie	Halifax	Canada	
DE	FALSE		USGS, Denver  			USA	
DEM	TRUE		NCSR Demokritos			Greece	
DGC	TRUE		Dalhousie Geochronology Centre, Dalhousie University	Dalhousie (DGC)	Halifax	Canada	
DIC	FALSE		Dicar Corp and Dicarb			USA	
DK	TRUE		Univ. de Dakar			Sénégal	
DRI	FALSE		Desert Research Institute			USA	
DSA	TRUE		CIRCE, Caserta			Italy	
Dak	FALSE		Univ. of Dakar			Sénégal	
Deb	TRUE		Debrecen			Hungary	
DebA	TRUE		Debrecen (AMS)			Hungary	
ENEA	TRUE		ENEA, Bologna			Italy	
ETH	TRUE		Laboratory of Ion Beam Physics, ETH Zürich	ETH Zürich	Zürich	Switzerland	https://ams.ethz.ch/LIPServices/c14.html
Erl	FALSE		Erlangen AMS Facility			Germany	
F	FALSE		Florence			Italy	
FSU	FALSE		Florida State University			USA	
FTMC	TRUE		Vilnius AMS Lab			Lithuania	
FZ	TRUE		Department of Physics, University of Fortaleza	Fortaleza	Fortaleza	Brazil	
Fi	TRUE		Florence INFN			Italy	
Fr	FALSE		Freiberg			Germany	
Fra	FALSE		Frankfurt			Germany	
G	FALSE		Göteborg			Sweden	
GAK	FALSE		Gakushuin University			Japan	
GC	NA		Guiyang Institute of Geochemistry			China	
GD	FALSE		Gdansk		Gdansk	Poland	
GIN	TRUE		Geological Institute			Russia	
GL	FALSE		Geochronological Lab			England	
GSC	TRUE		Geological Survey			Canada	
GU	FALSE		Scottish Universities Research & Reactor Centre			Scotland	
GV	TRUE		AMS Golden Valley, Novosibirsk			Russia	
GX	TRUE		Geochron Laboratories			USA	
GXNUAMS	TRUE		Guangxi Normal Univ. AMS Lab			China	
GZ	NA		Key Laboratory of Isotope Geochronology and Geochemistry (Guangzhou)			China	
Gd	FALSE		Gliwice			Poland	
GdA	TRUE		Gliwice			Poland	
GdS	TRUE		Gliwice			Poland	
Gif	TRUE		Gif-sur-Yvette			France	
Gif A	TRUE		Gif-sur-Yvette and Orsay			France	
GrA	FALSE		Groningen AMS			Netherlands	
GrM	TRUE		Groningen AMS			Netherlands	
GrN	FALSE		Groningen			Netherlands	
GrO	FALSE		Groningen			Netherlands	
H	FALSE		Heidelberg			Germany	
HAM	FALSE		Hamburg			Germany	
HAR	FALSE		Harwell			England	
HIG	FALSE		Hawaii Inst. of Geophys.			USA	
HL	TRUE		Second Inst. of Oceanography			China	
HNS	FALSE		Hasleton-Nuclear, Palo Alto			USA	
Hd	TRUE		Heidelberg			Germany	
Hel	FALSE	HelA	Laboratory of Chronology, University of Helsinki	Helsinki	Helsinki	Finland	https://www.helsinki.fi/en/luomus/analytical-services/radiocarbon-analyses
HelA	TRUE		Laboratory of Chronology, University of Helsinki (AMS)	Helsinki (AMS)	Helsinki	Finland	https://www.helsinki.fi/en/luomus/analytical-services/radiocarbon-analyses
Hv	FALSE		Hannover			Germany	
I	FALSE		Teledyne Isotopes			USA	
IAA	TRUE		Institute of Accelerator Analysis (beta counting)			Japan	
IAAA	TRUE		Institute of Accelerator Analysis (AMS)			Japan	
IAEA	FALSE		International Atomic Energy Agency  			Austria	
IAEA-MEL	TRUE		Marine Environmental Lab.			Monaco	
ICA	TRUE		International Chemical Analysis			USA	
ICEN	FALSE		Instituto Tecnológico e Nuclear			Portugal	
IEMAE	TRUE		Institute of Evolutionary Morphology & Animal Ecology			Russia	
IFAO	TRUE		Laboratoire de Datation par le Radiocarbone, Institut français d’archéologie orientale	IFAO	Cairo	Egypt	
IGAN	TRUE		Institute of Geography			Russia	
IGS	FALSE		Institute of Geological Sciences (UK)		London	UK	
IGSB	TRUE		Institute of Geochemistry and Geophysics, National Academy of Sciences of Belarus		Minsk	Belarus	
IHME	TRUE		Marzeev Inst. of Hygiene Med. Ecol.			Ukraine	
II	FALSE		Isotopes, Inc., Palo Alto			USA	
IMTA	TRUE		Inst. Mexicano de Tecnología del Agua			Mexico	
IOAN	FALSE		Inst. of Oceanography			Russia	
IOP	TRUE		Ionplus AG	Ionplus	Dietikon	Switzerland	https://www.ionplus.ch/
IORAN	FALSE		Institute of Oceanology			Russia	
IRPA	FALSE		Royal Institute for Cultural Heritage			Belgium	
ISGS	TRUE		Illinois State Geological Survey			USA	
IUACD	TRUE		Inter University Accelerator Centre			India	
IVAN	FALSE		Institute of Volcanology			Ukraine	
IVIC	FALSE		Caracas			Venezuela	
IWP	FALSE		Institute of Water Problems			Russia	
JAT	TRUE		Tono Geoscience Center (JAEA)			Japan	
K	FALSE		Copenhagen			Denmark	
KATRI	TRUE		Korea Apparel Testing			Korea	
KEEA	TRUE		Kyushu Environ. Eval. Assoc. Property Research Inst.			Japan	
KF	NA		State Key Laboratory of Lake Science and Environment, Chinese Academy of Sciences			China	
KGM	TRUE		Korea Institute of Geoscience & Mineral Resources (KIGAM)			Korea	
KI	FALSE		Kiel		Kiel	Germany	
KIA	TRUE		Kiel (AMS)		Kiel	Germany	
KIK	FALSE		Royal Institute for Cultural Heritage			Belgium	
KN	FALSE		Köln		Cologne	Germany	
KR	TRUE		Kraków		Kraków	Poland	
KRIL	FALSE		Krasnoyarsk Institute			Russia	
